id,name,what_to_donate,to_whom_donate,description,website,facebook,city,coordinates_lat,coordinates_lng,Inforegister,Logo,money,volunteer,blood,stuff,children,nature,in_need,animals
1,Loomade Hoiupaik,"money, adopt a pet",pets,It is a pet shelter with cats and dogs. You can take them from the shelter or bring them here.,http://www.pets.ee/,https://www.facebook.com/hoiupaik/,Tallinn,59.372046,24.741513,https://www.inforegister.ee/80209553-LOOMADE-HOIUPAIK-MTU,,1,0,0,0,0,0,0,1
2,Tartu koduta loomade varjupaik,"money, adopt a pet",pets,"It is a pet shelter with cats, dogs, and other animals. You can donate for their food and healthcare, or for the maintenance of the shelter's buildings.",http://www.loomadevarjupaik.eu/,https://www.facebook.com/Loomadevarjupaik/,Tartu,58.390530,26.746261,https://www.inforegister.ee/80420905-PAKRI-LOOMADEVARJUPAIK-MTU,,1,0,0,0,0,0,0,1
3,Varjupaikade MTÜ,"work, food, clothes, money",pets,"We help the homeless animals to find their new homes, accomplishing forehand the necessary medical procedures and announce publicly about animals in need of help.",http://varjupaik.ee/,https://www.facebook.com/VarjupaikadeMTY/,Võru,57.843620,27.027241,https://www.inforegister.ee/80249280-VARJUPAIKADE-MTU,https://www.armastanaidata.ee/upload/logo/215x215_493f7c531764792bbdf528b65d68f435980a0f40.png,1,1,0,1,0,0,0,1
4,Varjupaikade MTÜ,"work, food, clothes, money",pets,"We help the homeless animals to find their new homes, accomplishing forehand the necessary medical procedures and announce publicly about animals in need of help.",http://varjupaik.ee/,https://www.facebook.com/VarjupaikadeMTY/,Viigardi,58.888358,23.599715,https://www.inforegister.ee/80249280-VARJUPAIKADE-MTU,https://www.armastanaidata.ee/upload/logo/215x215_493f7c531764792bbdf528b65d68f435980a0f40.png,1,1,0,1,0,0,0,1
5,Varjupaikade MTÜ,"work, food, clothes, money",pets,"We help the homeless animals to find their new homes, accomplishing forehand the necessary medical procedures and announce publicly about animals in need of help.",http://varjupaik.ee/,https://www.facebook.com/VarjupaikadeMTY/,Pärnu,58.405962,24.522260,https://www.inforegister.ee/80249280-VARJUPAIKADE-MTU,https://www.armastanaidata.ee/upload/logo/215x215_493f7c531764792bbdf528b65d68f435980a0f40.png,1,1,0,1,0,0,0,1
6,Varjupaikade MTÜ,"work, food, clothes, money",pets,"We help the homeless animals to find their new homes, accomplishing forehand the necessary medical procedures and announce publicly about animals in need of help.",http://varjupaik.ee/,https://www.facebook.com/VarjupaikadeMTY/,Tallinn,59.469437,24.716255,https://www.inforegister.ee/80249280-VARJUPAIKADE-MTU,https://www.armastanaidata.ee/upload/logo/215x215_493f7c531764792bbdf528b65d68f435980a0f40.png,1,1,0,1,0,0,0,1
7,Varjupaikade MTÜ,"work, food, clothes, money",pets,"We help the homeless animals to find their new homes, accomplishing forehand the necessary medical procedures and announce publicly about animals in need of help.",http://varjupaik.ee/,https://www.facebook.com/VarjupaikadeMTY/,Valga,57.770306,26.082182,https://www.inforegister.ee/80249280-VARJUPAIKADE-MTU,https://www.armastanaidata.ee/upload/logo/215x215_493f7c531764792bbdf528b65d68f435980a0f40.png,1,1,0,1,0,0,0,1
8,Varjupaikade MTÜ,"work, food, clothes, money",pets,"We help the homeless animals to find their new homes, accomplishing forehand the necessary medical procedures and announce publicly about animals in need of help.",http://varjupaik.ee/,https://www.facebook.com/VarjupaikadeMTY/,Viljandi,58.370704,25.556906,https://www.inforegister.ee/80249280-VARJUPAIKADE-MTU,https://www.armastanaidata.ee/upload/logo/215x215_493f7c531764792bbdf528b65d68f435980a0f40.png,1,1,0,1,0,0,0,1
9,Varjupaikade MTÜ,"work, food, clothes, money",pets,"We help the homeless animals to find their new homes, accomplishing forehand the necessary medical procedures and announce publicly about animals in need of help.",http://varjupaik.ee/,https://www.facebook.com/VarjupaikadeMTY/,Virumaa,59.358985,26.357284,https://www.inforegister.ee/80249280-VARJUPAIKADE-MTU,https://www.armastanaidata.ee/upload/logo/215x215_493f7c531764792bbdf528b65d68f435980a0f40.png,1,1,0,1,0,0,0,1
10,Teeme ära SA,work ,public,"It's the day of collective action that has been taking place in different forms all over Estonia since the year 2008. In 2008 people gathered together to clean Estonia from illegal garbage, in 2009 people gathered together to generate good ideas and from 2010-2016 there have been several different actions (Estonian: talgud) all over Estonia. Every community, organization or active citizen decided by themselves what needed to be done and asked other people to join according to that.",http://www.teemeara.ee/en,https://www.facebook.com/teemeara/,All,,,https://www.inforegister.ee/90010442-TEEME-ARA-SA,,0,1,0,0,0,0,1,0
11,Synagogue,money,religion,The Jewish life in Estonia and the activity that organized by us is supported only by contributions from dedicated and concerned people such as yourselves. We try to achieve our mission of restoring Jewish life in Estonia through our various programs and activities. The biggest project which has been carried out lately is the construction of the new Synagogue in Tallinn. Now the biggest chalenge for us is to set it going and to make it the desired place for every Jew.,http://www.ejc.ee/,,Tallinn,59.438929,24.766740,?,,1,0,0,0,0,0,1,0
12,Tartu University Hospital,blood,public,"Donor center promotes voluntary, monetarily uncompensated blood donation; provision of immune haematological reference lab service.",https://kodu.kliinikum.ee/eng/,https://www.facebook.com/kliinikum,Tartu,58.367635,26.703875,https://www.inforegister.ee/90001478-TARTU-ULIKOOLI-KLIINIKUM-SA,,0,0,1,0,1,0,1,0
13,Tartu University Hospital,organs,public,,https://kodu.kliinikum.ee/eng/,https://www.facebook.com/kliinikum,Tartu,58.367635,26.703875,https://www.inforegister.ee/90001478-TARTU-ULIKOOLI-KLIINIKUM-SA,,0,0,1,0,1,0,1,0
